"Treat","Plant","Leaf","Rep","CO2.set","DOY","Time","CO2.meas","Plant.1","Leaf.1","Leaf.unique","Tset","Rep.1","Curve.unique","Rep.total","Tleaf","Ci","Ci.org","Photo","Photo.org","Cond","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","TBlk","CO2.set.1","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","EBal.","Tk"
"c.c",1,1,1,400,243,9.245,400,1,1,11,27,1,NA,1,31.72,240.6,237.7,16.56735653,16.925,0.245,3.37,1.54,31.72,6,1.420000017,1,2.840000033,28.526765825,26.969007495,400,400,378.0522766,27.334489825,31.249114035,70.581390385,80.70352173,500.3253021,1500.333557,183.9901886,101.0461235,-0.0435557065,-0.6659725905,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8338755035,0.003369951,304.8687662,301.67676585,240.05336375,0.6225389935,4.700927672,46.522636285,15.27352225,30.12276602,4.2910405255,0.219684077,3.1576033565,1.133437169,0.139018911,24.12711116,0.632023545,68.476877195,370.07034805,0.0312536295,0,304.87
"c.w",1,1,1,400,261,11.05486111,800,1,1,11,28,1,NA,16,33.47,270.35,267,11.02580489,11.4,0.1785,3.029,1.7535,33.47,6,1.420000017,1,2.840000033,29.943434715,28.188723565,400,400,384.973587,30.52015686,34.028900145,72.52342987,80.86685181,500.3487549,1499.0396725,470.7776337,100.9190941,0.080871582,-0.2683332265,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8339145915,0.0030290315,306.62110365,303.0934347,239.8463423,0.7398016845,5.188038213,51.40791267,17.379012525,31.70726919,4.696846044,0.167574439,3.4341653435,1.2626807005,0.1056416795,27.23054537,0.7009252795,66.77539388,379.7042676,0.0195112495,0,306.62
"w.w",1,1,1,400,243,10.6965,800,1,1,111,40,1,NA,1,41.815,276.25,272.65,9.466236511,9.84,0.175,5.37,3.06,41.815,6,1.420000017,1,2.840000033,40.697332385,40.047332765,400,399.5,385.60090635,44.42834091,50.538988115,58.307245255,66.321617125,500.24320985,1499.7822875,221.69610595,101.00027085,1.2076416015,-1.744301677,0.6666666715,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833738683,0.0053678145,314.96518175,313.8473324,239.96516065,-0.135565266,8.163714055,80.82863647,30.28964836,41.25625706,7.926088113,0.167428869,5.1044510225,2.8216370905,0.105571272,27.844013135,0.714977276,62.2115467,381.0728392,0.015586637,0,314.965
"c.c",2,1,1,400,243,9.7005,400,2,1,21,27,1,NA,1,30.425,274.65,272.5,16.118737005,16.475,0.295,3.99,1.455,30.425,6,1.420000017,1,2.840000033,28.498446465,26.96974945,400,399.5,378.19967655,24.145744325,28.79359913,62.466705325,74.48911667,500.3082428,1499.4411625,157.49121095,101.0637207,-0.825021744,-0.6312493085,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8338470715,0.003990818,303.57668625,301.64844645,239.9105806,0.480792989,4.365991942,43.20038865,14.40678952,29.46256638,4.130686608,0.2688942285,2.909988932,1.2206976755,0.1704494615,27.61913742,0.722690227,68.661358405,370.4309684,0.030397576,0,303.575
"c.w",2,1,1,400,261,10.5075,800,2,1,21,27,1,NA,18,32.11,204.9,200,11.84509679,12.22,0.113,1.52,1.355,32.11,6,1.420000017,1,2.840000033,28.95854568,27.11525726,400,400,385.1145325,32.42159271,34.18171692,81.55903625,85.98677063,500.343689,1499.072998,296.8555298,100.9283905,2.84569931,-0.08670786,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833906148,0.001519725,305.2604126,302.1085457,239.8516743,1.581211999,4.805006009,47.60807128,13.42635436,30.53447914,4.393008691,0.108560833,3.449905673,0.943103018,0.068225415,20.59604247,0.529883656,71.71966774,379.4557403,0.022500152,0,305.26
"w.c",2,1,1,400,263,12.76277778,400,2,1,121,29,1,NA,18,34.62166977,257.6,254,12.40222014,12.75472336,0.183729049,3.780252251,2.110245113,34.62166977,6,1.420000017,1,2.840000033,32.03873444,30.21800232,400,400,382.6878357,29.55477715,33.93481064,62.25650406,71.4829483,500.2660522,1498.742188,824.461853,100.806839,0.859857559,-0.422758758,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833776754,0.003780252,307.7716698,305.1887344,239.7987446,0.479799882,5.531106105,54.86836171,20.93355107,33.3302021,5.146600955,0.17256523,3.420860992,1.725739962,0.108803624,25.75947308,0.667732201,62.50088991,376.6848088,0.020953808,0,307.77166977
"w.w",2,1,1,400,243,12.773,800,2,1,121,36,1,NA,1,38.29,249.3,245.9,12.73638912,13.11,0.18,5.76,3.18,38.29,6,1.420000017,1,2.840000033,36.75368118,36.13483429,400,401,382.315979,28.85289383,35.51502609,46.80027771,57.60645676,500.3920898,1500.156494,159.9378662,100.9001083,-0.489925385,-1.082375407,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833986816,0.005760723,311.4363426,309.9036812,240.0250337,-0.39330834,6.761280761,67.00964818,31.49462209,37.5200119,6.48605426,0.173534852,3.58346998,2.90258428,0.109420396,25.10095846,0.650693132,53.48741313,376.2339176,0.018189846,0,311.44
"c.c",3,1,1,400,243,10.1275,400,3,1,31,27,1,NA,1,30.225,249.1,246.6,17.45862227,17.82,0.255,3.55,1.495,30.225,6,1.420000017,1,2.840000033,28.502664565,26.969799995,400,400,377.1152496,23.779473305,27.91892433,61.486797335,72.187374115,500.24131775,1499.432556,452.6643677,101.03495025,-1.170841217,-0.600276828,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8337355295,0.0035505825,303.37654915,301.65266455,239.9092036,0.7382081165,4.316205615,42.719925825,14.80100149,29.36460686,4.1074104265,0.232700497,2.820785129,1.286625297,0.147222565,25.009087185,0.656499859,67.012003125,368.70985815,0.032222121,0,303.375
"w.c",3,1,1,400,263,12.22166667,400,3,1,131,29,1,NA,15,34.31562424,227.1,223,12.49970853,12.85088444,0.1435266,3.162014141,2.234123876,34.31562424,6,1.420000017,1,2.840000033,30.73241043,29.116745,400,401,383.7328796,28.08976173,31.76637459,63.76060104,72.10610199,499.6286316,1500.295532,1330.948975,100.8511734,0.3026371,-0.334608734,1,-0.219565243,2.737391472,1,0,0.159999996,111125,0.832714386,0.003162014,307.4656242,303.8824104,240.0472798,0.660719782,5.437800028,53.91905562,22.15268103,32.52401733,4.918552383,0.136622058,3.203676152,1.714876231,0.085983386,22.64477705,0.585137701,59.1408682,377.683283,0.019928331,0,307.46562424
"c.c",4,1,1,400,249,9.64,400,4,1,41,25,1,NA,1,28.19532013,280.75,279.2832296,20.934217185,21.299493165,0.4423622235,4.536677927,1.1594417435,28.19532013,6,1.420000017,1,2.840000033,26.059339525,25.01812935,400,400,372.65737915,21.21121502,26.506822585,63.311286925,79.116340635,500.3856964,1499.4661255,99.92870332,101.06856155,-2.0745697025,0.2767011525,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8339761605,0.004536678,301.34532015,299.2093395,239.9145747,0.176052053,3.8384490685,37.978638305,11.47181572,27.127329825,3.606103234,0.382744408,2.679007325,0.9270959085,0.2439412165,28.285645975,0.751000249,72.997401845,362.60081035,0.0425935235,0,301.34532013
