"Date","DOY","Species","Time","Treat.orig","Treat","CO2.meas","Plant","Leaf","Leaf.unique","Tset","Rep","Curve.unique","Rep.total","Tleaf","Ci","Ci.org","Photo","Photo.org","Cond","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","TBlk","CO2.set","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","EBal.","Tk"
"4-Sep-17",247,"Tabebuia",8.02,"Control","c.c",400,1,1,11,24,3,"c.c400.1.1.3",3,27.34704208,541,541.6762903,26.55695079,26.46650353,0.212249635,2.310092316,1.14565771,27.34704208,6,1.420000017,1,2.840000033,25.44826508,25.01860428,800,800,766.071167,22.11629677,24.81735039,68.4163208,76.77198029,500.4184875,1499.967041,80.04637146,101.0223465,-6.515674591,0.267484456,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834030813,0.002310092,300.4970421,298.5982651,239.9947206,1.371353236,3.652764681,36.15798689,11.3406365,26.39765358,3.454476939,0.19749006,2.50710697,0.947369969,0.124677589,54.72140989,0.707083511,69.89919294,753.2140477,0.025100478,0,300.49704208
"4-Sep-17",247,"Tabebuia",13.89,"Control","c.c",400,1,1,11,30,5,"c.c400.1.1.5",5,34.72888947,305.6,307.3201256,23.1781669,23.08530308,0.086732228,2.364175216,2.713665167,34.72888947,6,1.420000017,1,2.840000033,31.37392044,30.09815598,800,798,768.3955688,25.51995277,28.27534485,55.82526016,61.85271835,500.2541809,1498.505737,646.9899292,100.8106995,-7.099018097,0.082664281,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833756968,0.002364175,307.8788895,304.5239204,239.7609119,1.098524297,5.564122459,55.19376899,26.91842414,33.05140496,5.066717582,0.084161963,2.850457293,2.216260289,0.052826264,30.98115683,0.399950414,50.61340282,757.1435443,0.0158235,0,307.87888947
"6-Sep-17",249,"Tabebuia",8.26,"Control","c.c",400,1,1,11,25,6,"c.c400.1.1.6",6,27.74393463,563.7,564.3205882,26.32971384,26.23845913,0.234833125,2.285416985,1.029987118,27.74393463,6,1.420000017,1,2.840000033,25.68331337,25.01456451,800,800,766.8474731,24.1566143,26.82422066,73.65784454,81.79185486,500.2490234,1500.109741,147.8320618,100.9748535,-6.501098633,0.291023433,1,-0.219565243,2.737391472,1,0,0.159999996,111125,0.833748372,0.002285417,300.8939346,298.8333134,240.0175532,1.360697863,3.738558869,37.02465257,10.20043191,26.713624,3.519399874,0.2168983,2.708571752,0.810828123,0.137066228,56.55655265,0.730399903,73.71456909,754.098032,0.026218102,0,300.89393463
"6-Sep-17",249,"Tabebuia",10.26,"Control","c.c",400,1,1,11,27,7,"c.c400.1.1.7",7,29.87140083,597.1,597.5637573,28.70360675,28.61782485,0.340402537,4.460731173,1.431638274,29.87140083,6,1.420000017,1,2.840000033,27.74508476,26.97422409,800,800,761.5926514,22.47703171,27.67832565,60.76127243,74.82172394,500.3292236,1500.842041,393.2826843,101.0697784,-8.42375946,0.184887111,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833882039,0.004460731,303.0214008,300.8950848,240.1347212,0.214046061,4.229080515,41.84317587,14.16485022,28.8082428,3.977361984,0.30396882,2.797442241,1.179919743,0.19294918,60.09928466,0.780773823,68.68238917,747.7170659,0.026812913,0,303.02140083
"11-Sep-17",254,"Tabebuia",9.196388889,"Control","c.c",800,1,1,11,35,11,"c.c800.1.1.11",11,38.70821381,451.5,452.2589686,26.43479528,26.3630254,0.152454172,3.549801323,2.335590951,38.70821381,6,1.420000017,1,2.840000033,36.00691986,34.9693718,800,800,765.3792725,41.3143425,45.38541412,69.84564972,76.72816467,499.4299927,1501.256226,182.2192535,100.9461975,-1.398451567,-0.476651549,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832383321,0.003549801,311.8582138,309.1569199,240.2009907,0.567124968,6.917075929,68.52240203,23.13698791,37.35756683,6.428978196,0.144687212,4.581484978,1.847493218,0.091096655,45.32111818,0.586589055,66.01931311,752.7020513,0.023391418,0,311.85821381
"11-Sep-17",254,"Tabebuia",9.627222222,"Control","c.c",800,1,1,11,36,12,"c.c800.1.1.12",12,36.7232666,608.2,608.47997,30.17788608,30.11259615,0.408356033,6.136517807,1.642507888,36.7232666,6,1.420000017,1,2.840000033,36.18517685,36.14241028,800,801,759.461731,38.21001434,45.24787903,63.97017288,75.75276947,499.4855957,1500.452271,226.6331787,100.9496765,-2.37726593,-0.507050872,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832475993,0.006136518,309.8732666,309.3351768,240.0723579,-0.436190344,6.210266638,61.51844021,16.27056118,36.45422173,6.119467543,0.357020943,4.567758751,1.551708792,0.227244637,61.29611354,0.79950671,75.57257393,745.0069394,0.030846103,0,309.8732666
"11-Sep-17",254,"Tabebuia",11.34694444,"Control","c.c",800,1,1,11,37,13,"c.c800.1.1.13",13,41.03761673,531.8,532.3168643,27.19798358,27.12841862,0.225810269,5.249971502,2.365413374,41.03761673,6,1.420000017,1,2.840000033,38.36765289,37.11460495,800,801,763.3642578,48.24110413,54.20488739,71.67454529,80.53527832,499.5551147,1498.459351,219.2211456,100.8987656,0.161445618,-0.813786864,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832591858,0.005249972,314.1876167,311.5176529,239.7534907,-0.312689309,7.834619599,77.64831963,23.44343224,39.70263481,7.296686237,0.20917836,5.469206225,1.827480012,0.132135501,53.48350867,0.694388014,70.0579731,750.3248392,0.025612446,0,314.18761673
"11-Sep-17",254,"Tabebuia",14.02666667,"Control","c.c",800,1,1,11,40,14,"c.c800.1.1.14",14,41.7039299,555.3,555.7744255,26.05195664,25.98275147,0.251061842,6.446484283,2.625267849,41.7039299,6,1.420000017,1,2.840000033,40.54683685,40.0398674,800,800,763.0355835,47.19225311,54.50063705,62.28494263,71.93064117,500.3962708,1500.192993,120.4337997,100.7412567,-0.36190033,-0.959775329,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833993785,0.006446484,314.8539299,313.6968369,240.0308735,-0.69108989,8.115730517,80.56014767,26.05951062,41.12538338,7.871158209,0.230670129,5.490462669,2.38069554,0.14587198,55.78529367,0.725717454,68.12707191,750.5410266,0.023858917,0,314.8539299
"11-Sep-17",254,"Tabebuia",14.43083333,"Control","c.c",800,1,1,11,41,15,"c.c800.1.1.15",15,41.75389862,579.1,579.469358,25.41215737,25.34314366,0.288438275,7.557734228,2.711778038,41.75389862,6,1.420000017,1,2.840000033,41.70311356,41.60732269,800,800,762.8606567,45.28465271,53.85886765,56.21020889,66.85307312,500.3851624,1501.208008,160.6575623,100.7332993,-0.564880371,-0.98867929,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833975271,0.007557734,314.9038986,314.8531136,240.1932759,-1.084928132,8.13715947,80.77924113,26.92037348,41.72850609,8.126263835,0.26184461,5.425381432,2.700882403,0.165851001,58.19264107,0.757268326,67.56312871,750.6702805,0.023081404,0,314.90389862
"31-Aug-17",243,"Tabebuia",9.88,"Control","c.c",400,2,1,21,27,1,"c.c400.2.1.1",1,30.44,578.5,579,30.59413314,30.51,0.33,4.36,1.46,30.44,6,1.420000017,1,2.840000033,28.53286171,26.9673481,800,800,759.5889282,23.72356987,28.80768013,61.24809265,74.37393951,500.271698,1500.307739,149.5688019,101.0578766,-6.029956818,-0.642781138,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833786163,0.004364801,303.5869678,301.6828617,240.0492329,0.291826648,4.368559848,43.22829645,14.42061632,29.48491478,4.136013144,0.291775964,2.911242983,1.22477016,0.185093548,58.20260147,0.758217148,68.94968292,744.8155464,0.028770542,0,303.59
