DOY,Species,Time,Treat,CO2.meas,Plant,Leaf,Leaf.unique,Tset,Rep,Rep.total,Tleaf,Ci,Photo,Cond,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,TBlk,CO2.set,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci.Ca,RHsfc,C2sfc,AHs.Cs,EBal.,Tk
247,Tabebuia,8.02,c.c,400,1,1,11,24,3,3,27.35,541,26.56,0.21,2.31,1.15,27.35,6,1.420000017,1,2.840000033,25.45,25.02,800,800,766.07,22.12,24.82,68.42,76.77,500.42,1499.97,80.05,101.02,-6.52,0.27,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,300.5,298.6,239.99,1.37,3.65,36.16,11.34,26.4,3.45,0.2,2.51,0.95,0.12,54.72,0.71,69.9,753.21,0.03,0,300.5
247,Tabebuia,13.89,c.c,400,1,1,11,30,5,5,34.73,305.6,23.18,0.09,2.36,2.71,34.73,6,1.420000017,1,2.840000033,31.37,30.1,800,798,768.4,25.52,28.28,55.83,61.85,500.25,1498.51,646.99,100.81,-7.1,0.08,1,-0.22,2.74,1,0,0.16,111115,0.83,0,307.88,304.52,239.76,1.1,5.56,55.19,26.92,33.05,5.07,0.08,2.85,2.22,0.05,30.98,0.4,50.61,757.14,0.02,0,307.88
249,Tabebuia,8.26,c.c,400,1,1,11,25,6,6,27.74,563.7,26.33,0.23,2.29,1.03,27.74,6,1.420000017,1,2.840000033,25.68,25.01,800,800,766.85,24.16,26.82,73.66,81.79,500.25,1500.11,147.83,100.97,-6.5,0.29,1,-0.22,2.74,1,0,0.16,111125,0.83,0,300.89,298.83,240.02,1.36,3.74,37.02,10.2,26.71,3.52,0.22,2.71,0.81,0.14,56.56,0.73,73.71,754.1,0.03,0,300.89
249,Tabebuia,10.26,c.c,400,1,1,11,27,7,7,29.87,597.1,28.7,0.34,4.46,1.43,29.87,6,1.420000017,1,2.840000033,27.75,26.97,800,800,761.59,22.48,27.68,60.76,74.82,500.33,1500.84,393.28,101.07,-8.42,0.18,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,303.02,300.9,240.13,0.21,4.23,41.84,14.16,28.81,3.98,0.3,2.8,1.18,0.19,60.1,0.78,68.68,747.72,0.03,0,303.02
254,Tabebuia,9.2,c.c,800,1,1,11,35,11,11,38.71,451.5,26.43,0.15,3.55,2.34,38.71,6,1.420000017,1,2.840000033,36.01,34.97,800,800,765.38,41.31,45.39,69.85,76.73,499.43,1501.26,182.22,100.95,-1.4,-0.48,1,-0.22,2.74,1,0,0.16,111115,0.83,0,311.86,309.16,240.2,0.57,6.92,68.52,23.14,37.36,6.43,0.14,4.58,1.85,0.09,45.32,0.59,66.02,752.7,0.02,0,311.86
254,Tabebuia,9.63,c.c,800,1,1,11,36,12,12,36.72,608.2,30.18,0.41,6.14,1.64,36.72,6,1.420000017,1,2.840000033,36.19,36.14,800,801,759.46,38.21,45.25,63.97,75.75,499.49,1500.45,226.63,100.95,-2.38,-0.51,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,309.87,309.34,240.07,-0.44,6.21,61.52,16.27,36.45,6.12,0.36,4.57,1.55,0.23,61.3,0.8,75.57,745.01,0.03,0,309.87
254,Tabebuia,11.35,c.c,800,1,1,11,37,13,13,41.04,531.8,27.2,0.23,5.25,2.37,41.04,6,1.420000017,1,2.840000033,38.37,37.11,800,801,763.36,48.24,54.2,71.67,80.54,499.56,1498.46,219.22,100.9,0.16,-0.81,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,314.19,311.52,239.75,-0.31,7.83,77.65,23.44,39.7,7.3,0.21,5.47,1.83,0.13,53.48,0.69,70.06,750.32,0.03,0,314.19
254,Tabebuia,14.03,c.c,800,1,1,11,40,14,14,41.7,555.3,26.05,0.25,6.45,2.63,41.7,6,1.420000017,1,2.840000033,40.55,40.04,800,800,763.04,47.19,54.5,62.28,71.93,500.4,1500.19,120.43,100.74,-0.36,-0.96,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,314.85,313.7,240.03,-0.69,8.12,80.56,26.06,41.13,7.87,0.23,5.49,2.38,0.15,55.79,0.73,68.13,750.54,0.02,0,314.85
254,Tabebuia,14.43,c.c,800,1,1,11,41,15,15,41.75,579.1,25.41,0.29,7.56,2.71,41.75,6,1.420000017,1,2.840000033,41.7,41.61,800,800,762.86,45.28,53.86,56.21,66.85,500.39,1501.21,160.66,100.73,-0.56,-0.99,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,314.9,314.85,240.19,-1.08,8.14,80.78,26.92,41.73,8.13,0.26,5.43,2.7,0.17,58.19,0.76,67.56,750.67,0.02,0,314.9
243,Tabebuia,9.88,c.c,400,2,1,21,27,1,1,30.44,578.5,30.59,0.33,4.36,1.46,30.44,6,1.420000017,1,2.840000033,28.53,26.97,800,800,759.59,23.72,28.81,61.25,74.37,500.27,1500.31,149.57,101.06,-6.03,-0.64,1,-0.22,2.74,1,0,0.16,111115,0.83,0,303.59,301.68,240.05,0.29,4.37,43.23,14.42,29.48,4.14,0.29,2.91,1.22,0.19,58.2,0.76,68.95,744.82,0.03,0,303.59
