Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,LMA,N.perc,C.perc,N.area,C.area,Vcmax.N,Jmax.N,R.N
c.c,243,1,1,1,11,31.6,145.5037575,198.7762976,1.674140979,71.80316585,160.3481929,1.864694901,55.8,2.35,46.08,13.10024128,257.2463081,11.10695249,15.17348371,0.127794668
c.c,247,1,1,2,12,34.9,201.1846474,224.5214338,1.761228914,66.03863307,178.1148659,1.46108407,55.8,2.35,46.08,13.10024128,257.2463081,15.35732382,17.13872509,0.134442479
c.c,247,3,1,1,11,27.3,93.9418582,158.9062223,1.366757617,76.24798695,141.9928383,1.456162029,55.8,2.35,46.08,13.10024128,257.2463081,7.171002138,12.13002257,0.104330721
c.c,247,4,1,1,11,32.6,146.8550103,203.9243214,1.107482285,63.42116092,159.0003745,0.684420688,55.8,2.35,46.08,13.10024128,257.2463081,11.21009966,15.56645538,0.084539075
c.c,247,5,1,1,11,33.8,184.7385419,245.7057286,1.818355317,69.05986935,193.6251029,1.266473073,55.8,2.35,46.08,13.10024128,257.2463081,14.10191904,18.75581705,0.138803193
c.c,249,6,1,1,11,27.7,91.43145499,146.512455,0.852642397,70.6818506,131.2665344,1.1246395,55.8,2.35,46.08,13.10024128,257.2463081,6.979371835,11.18395088,0.065086007
c.c,249,7,1,1,11,30.1,113.5897939,175.5608319,1.129035883,67.01629125,142.9673509,1.077936499,55.8,2.35,46.08,13.10024128,257.2463081,8.670816934,13.40134339,0.086184358
c.c,254,11,1,1,11,38.1,212.3416323,232.4930559,1.688095939,51.77656954,215.5341213,1.857381113,55.8,2.35,46.08,13.10024128,257.2463081,16.20898637,17.74723465,0.128859912
c.c,254,12,1,1,11,37,190.5198817,207.6044797,2.027386105,53.3058669,179.0149499,2.249676049,55.8,2.35,46.08,13.10024128,257.2463081,14.54323456,15.84737833,0.154759448
c.c,254,13,1,1,11,41.2,234.4180667,259.3743591,2.627102459,43.34673916,345.5976926,2.653787259,55.8,2.35,46.08,13.10024128,257.2463081,17.89417933,19.79920473,0.200538479
c.c,254,14,1,1,11,41.9,234.4003993,222.9606453,2.22065441,39.23847407,281.5830087,2.280794137,55.8,2.35,46.08,13.10024128,257.2463081,17.8928307,17.01958312,0.169512482
c.c,254,15,1,1,11,41.7,216.8089401,210.2975176,1.681490586,35.42862815,284.1261452,1.262274836,55.8,2.35,46.08,13.10024128,257.2463081,16.54999595,16.05294996,0.128355696
c.c,243,1,2,1,21,30.4,125.9836195,197.0166911,2.793574004,69.40858965,161.6864314,2.791373072,52.1,2.79,46.37,14.55659825,241.8443946,8.654743185,13.5345283,0.191911184
c.c,249,3,2,1,21,28,116.5574971,165.4993843,-0.080367024,82.3190867,147.540759,-0.008522237,52.1,2.79,46.37,14.55659825,241.8443946,8.007193374,11.36937226,-0.005521003
c.c,247,3,2,2,22,33.5,164.5895826,244.0728484,-0.078599997,68.06460848,197.8024647,0.562186768,52.1,2.79,46.37,14.55659825,241.8443946,11.30687127,16.7671625,-0.005399613
c.c,249,4,2,1,21,35.9,194.6614051,283.3550126,0.11786198,60.19738956,234.7467472,0.002442354,52.1,2.79,46.37,14.55659825,241.8443946,13.37272636,19.46574383,0.008096808
c.c,249,5,2,1,21,35.9,194.6704175,283.3497964,0.117401538,60.08048744,234.9712322,0.026734424,52.1,2.79,46.37,14.55659825,241.8443946,13.37334548,19.46538549,0.008065177
c.c,247,6,2,1,21,26.5,91.02517945,157.5447347,1.11795703,76.58921846,146.3928978,1.006384828,52.1,2.79,46.37,14.55659825,241.8443946,6.253190331,10.82290876,0.076800707
c.c,247,7,2,1,21,31.7,137.578246,195.6289844,-0.298915371,70.3889736,157.179304,0.04272842,52.1,2.79,46.37,14.55659825,241.8443946,9.451263516,13.43919651,-0.0205347
c.c,251,11,2,1,21,39.4,281.7580662,268.232127,1.29916063,59.19057906,255.1829971,1.423960912,52.1,2.79,46.37,14.55659825,241.8443946,19.35603781,18.42684137,0.089248917
c.c,251,12,2,1,21,36,205.6134137,217.5425026,1.441600579,62.73050156,178.68874,1.79340247,52.1,2.79,46.37,14.55659825,241.8443946,14.12510053,14.94459755,0.099034167
c.c,254,13,2,1,21,41.7,254.6081082,276.5021573,1.230580059,43.76028783,328.8782506,1.669940928,52.1,2.79,46.37,14.55659825,241.8443946,17.49090713,18.9949707,0.084537612
c.c,254,14,2,1,21,40.8,240.6109068,266.0016456,1.313864632,45.56503411,303.1918787,1.386154659,52.1,2.79,46.37,14.55659825,241.8443946,16.52933622,18.27361317,0.090259043
c.c,254,15,2,1,21,41.3,238.7187048,254.8176492,0.332285143,42.27860969,319.0683672,0.304158295,52.1,2.79,46.37,14.55659825,241.8443946,16.39934693,17.50530205,0.022827115
c.c,243,2,2,1,21,36.9,234.8152151,277.9234362,2.114342315,63.81253648,241.0141836,1.769009559,52.1,2.79,46.37,14.55659825,241.8443946,16.13118746,19.09260882,0.145249754
c.c,247,8,2,1,21,33,138.8942222,225.2249722,-0.221350956,58.13142068,178.1552805,-0.275539303,52.1,2.79,46.37,14.55659825,241.8443946,9.541667618,15.472363,-0.015206228
c.c,254,9,2,1,21,41.3,238.0266372,256.35112,0.475944457,42.23055973,320.9062467,0.456820043,52.1,2.79,46.37,14.55659825,241.8443946,16.3518037,17.61064745,0.032696132
c.c,251,10,2,1,21,41.4,305.5653428,344.4196558,1.792053115,54.91292268,423.2648302,2.037751552,52.1,2.79,46.37,14.55659825,241.8443946,20.99153508,23.66072415,0.123109334
c.c,,7,2,1,,35.9,188.9228558,268.7969855,-0.933237985,,,,52.1,2.79,46.37,14.55659825,241.8443946,12.97850312,18.46564567,-0.064110994
c.c,,12,2,1,,41.3,227.8691228,240.6729582,-0.64724963,,,,52.1,2.79,46.37,14.55659825,241.8443946,15.65400919,16.53359899,-0.044464347
c.c,243,1,3,1,31,30.4,147.243362,243.0042991,3.028370477,82.9500541,198.1277225,3.096510645,61.7,2.75,46.32,16.97882983,285.7026793,8.67217373,14.31219357,0.178361554
c.c,247,3,3,1,31,27.8,133.6171528,177.2559362,0.317920026,95.65930236,156.8256971,0.247531746,61.7,2.75,46.32,16.97882983,285.7026793,7.869632604,10.43982053,0.018724496
c.c,247,4,3,1,31,30.8,151.2430363,228.8535892,2.084215999,74.50376642,186.5553637,1.571760382,61.7,2.75,46.32,16.97882983,285.7026793,8.907742042,13.47876099,0.122753807
c.c,249,5,3,1,31,27.5,117.0141601,200.421812,0.866813637,90.61855768,179.4459401,0.915750341,61.7,2.75,46.32,16.97882983,285.7026793,6.891768238,11.80421819,0.051052613
c.c,249,6,3,1,31,36.7,212.3692301,302.3805291,0.138828231,59.95954676,259.2688302,-0.115755554,61.7,2.75,46.32,16.97882983,285.7026793,12.50788377,17.8092679,0.008176549
c.c,251,7,3,1,31,39.5,241.5373474,391.3930731,2.00319819,53.02599466,407.7396627,2.358998878,61.7,2.75,46.32,16.97882983,285.7026793,14.2257947,23.05182848,0.117982111
c.c,254,11,3,1,31,43.2,243.4195087,262.6442809,1.352687769,34.27421837,422.1681487,0.996796604,61.7,2.75,46.32,16.97882983,285.7026793,14.33664812,15.4689271,0.079669081
c.c,254,12,3,1,31,43.2,250.3146303,274.2932624,1.459737429,36.82314776,416.1630155,1.427320868,61.7,2.75,46.32,16.97882983,285.7026793,14.74274923,16.1550157,0.085973971
c.c,243,2,3,1,31,35.9,242.3390704,292.0610787,2.139839415,75.41846338,241.2296914,2.329712359,61.7,2.75,46.32,16.97882983,285.7026793,14.27301368,17.20148453,0.126029852
c.c,254,8,3,1,31,40.7,301.1094731,402.3646557,1.246687718,56.86554517,464.2917752,1.29723454,61.7,2.75,46.32,16.97882983,285.7026793,17.73440668,23.6980204,0.073426009
c.c,254,9,3,1,31,42.9,213.1892019,269.4801492,1.77504348,31.51270766,372.2578312,1.838156357,61.7,2.75,46.32,16.97882983,285.7026793,12.55617755,15.87153837,0.104544512
c.c,254,10,3,1,31,41.1,290.3456258,373.4170083,1.378317351,52.75717355,451.1930708,1.436944173,61.7,2.75,46.32,16.97882983,285.7026793,17.10044972,21.99309446,0.081178583
c.c,249,1,4,1,41,28.4,115.0676466,164.7169634,0.695074433,80.6842699,143.0382889,0.737648452,48.7,3.94,47.28,19.16679266,230.211248,6.003489922,8.593872033,0.036264515
c.c,249,3,4,1,41,37.2,226.4811439,307.9065865,0.884400629,61.31208203,275.7654079,0.721486657,48.7,3.94,47.28,19.16679266,230.211248,11.81632983,16.06458587,0.046142338
c.c,251,4,4,1,41,40,246.1731967,365.4344571,1.847580234,50.06843996,402.2104387,1.946537065,48.7,3.94,47.28,19.16679266,230.211248,12.84373453,19.06602025,0.096394857
c.c,249,2,4,1,41,31.6,163.5558614,201.1605316,1.125891088,79.15814379,160.9174747,1.07770837,48.7,3.94,47.28,19.16679266,230.211248,8.533293198,10.49526309,0.058741758
c.w,261,1,1,1,11,33.8,113.1368362,130.6883165,2.297076854,44.76904728,104.0857899,2.356072103,71.4,1.53,45.03,10.91033435,321.3325016,10.36969469,11.97839702,0.21054138
c.w,261,2,1,1,11,36.7,143.0910805,140.0869367,2.761869365,39.92545543,118.2287273,2.892546927,71.4,1.53,45.03,10.91033435,321.3325016,13.11518748,12.83983902,0.253142505
c.w,261,3,1,1,11,37.8,186.8011216,160.0918338,3.99268978,43.91486712,142.2448547,3.423178848,71.4,1.53,45.03,10.91033435,321.3325016,17.1214846,14.67341225,0.365954851
c.w,262,4,1,1,11,37.2,150.2370301,158.5134179,2.368570875,40.53196307,139.3316478,2.409156072,71.4,1.53,45.03,10.91033435,321.3325016,13.7701582,14.52874062,0.217094252
c.w,262,5,1,1,11,37.5,150.8859527,159.7731925,2.895190852,40.40528771,142.7162999,3.02622345,71.4,1.53,45.03,10.91033435,321.3325016,13.829636,14.6442068,0.265362248
c.w,262,6,1,1,11,38.5,154.0985262,169.7636318,2.586897041,36.43398346,166.1397935,2.484049687,71.4,1.53,45.03,10.91033435,321.3325016,14.12408834,15.55989269,0.237105203
c.w,262,7,1,1,11,39.9,185.0737024,191.1924156,3.308945945,38.04905729,207.9139208,3.289091185,71.4,1.53,45.03,10.91033435,321.3325016,16.96315589,17.523974,0.303285476
c.w,262,8,1,1,11,39.6,229.8116817,179.8737901,5.524739328,50.45076625,186.6751744,6.044874047,71.4,1.53,45.03,10.91033435,321.3325016,21.06366994,16.48655159,0.50637672
c.w,263,9,1,1,11,29.5,94.28192662,107.9749997,3.451183184,58.35455811,90.31207873,3.423876824,71.4,1.53,45.03,10.91033435,321.3325016,8.641524959,9.896580266,0.316322403
c.w,263,10,1,1,11,30.7,95.04596202,120.1959242,4.336341264,51.13435256,97.6451974,4.29747417,71.4,1.53,45.03,10.91033435,321.3325016,8.711553556,11.01670401,0.397452647
c.w,263,11,1,1,11,31.6,84.04959648,119.0897098,2.187923283,40.90833177,94.40958653,2.091336236,71.4,1.53,45.03,10.91033435,321.3325016,7.703668262,10.91531258,0.200536777
c.w,265,12,1,1,11,41.4,180.480988,167.8008859,2.191361048,30.97573236,220.3048306,2.118161913,71.4,1.53,45.03,10.91033435,321.3325016,16.54220505,15.37999482,0.200851869
c.w,265,13,1,1,11,42.4,171.9214937,164.6172845,2.724770431,27.51754027,231.9690615,2.720321082,71.4,1.53,45.03,10.91033435,321.3325016,15.75767416,15.08819796,0.249742157
c.w,265,14,1,1,11,43.7,173.2264021,166.3535714,2.477552259,23.509379,300.7912641,2.251575631,71.4,1.53,45.03,10.91033435,321.3325016,15.87727713,15.24733945,0.227083074
