Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,P270,P505
c.c,243,1,1,1,11,31.6,145.5037575,198.7762976,1.674140979,71.80316585,160.3481929,1.864694901,18.33406097,29.39419144
c.c,247,1,1,2,12,34.9,201.1846474,224.5214338,1.761228914,66.03863307,178.1148659,1.46108407,19.08788373,30.61018474
c.c,243,1,2,1,21,30.4,125.9836195,197.0166911,2.793574004,69.40858965,161.6864314,2.791373072,16.40250282,28.62769761
c.c,243,1,3,1,31,30.4,147.243362,243.0042991,3.028370477,82.9500541,198.1277225,3.096510645,19.40066883,33.90257334
c.c,249,1,4,1,41,28.4,115.0676466,164.7169634,0.695074433,80.6842699,143.0382889,0.737648452,19.93626524,27.1868878
c.c,247,3,1,1,11,27.3,93.9418582,158.9062223,1.366757617,76.24798695,141.9928383,1.456162029,16.93595632,26.04651077
c.c,249,3,2,1,21,28,116.5574971,165.4993843,-0.080367024,82.3190867,147.540759,-0.008522237,21.61912438,28.23386856
c.c,247,3,2,2,22,33.5,164.5895826,244.0728484,-0.078599997,68.06460848,197.8024647,0.562186768,19.40784522,35.30358787
c.c,247,3,3,1,31,27.8,133.6171528,177.2559362,0.317920026,95.65930236,156.8256971,0.247531746,23.35607348,29.58713703
c.c,249,3,4,1,41,37.2,226.4811439,307.9065865,0.884400629,61.31208203,275.7654079,0.721486657,18.00640282,36.99528017
c.c,247,4,1,1,11,32.6,146.8550103,203.9243214,1.107482285,63.42116092,159.0003745,0.684420688,17.5564601,30.12523855
c.c,249,4,2,1,21,35.9,194.6614051,283.3550126,0.11786198,60.19738956,234.7467472,0.002442354,18.28236191,36.05984319
c.c,247,4,3,1,31,30.8,151.2430363,228.8535892,2.084215999,74.50376642,186.5553637,1.571760382,20.26528674,33.0637353
c.c,251,4,4,1,41,40,246.1731967,365.4344571,1.847580234,50.06843996,402.2104387,1.946537065,13.72697639,31.21783066
c.c,247,5,1,1,11,33.8,184.7385419,245.7057286,1.818355317,69.05986935,193.6251029,1.266473073,19.26937554,33.44574542
c.c,249,5,2,1,21,35.9,194.6704175,283.3497964,0.117401538,60.08045675,234.9711348,0.026722051,18.25181432,36.01360273
c.c,249,5,3,1,31,27.5,117.0141601,200.421812,0.866813637,90.61855768,179.4459401,0.915750341,21.66929602,32.37129735
c.c,249,6,1,1,11,27.7,91.43145499,146.512455,0.852642397,70.6818506,131.2665344,1.1246395,16.39854968,24.53926121
c.c,247,6,2,1,21,26.5,91.02517945,157.5447347,1.11795703,76.58921846,146.3928978,1.006384828,17.77155928,26.39244285
c.c,249,6,3,1,31,36.7,212.3692301,302.3805291,0.138828231,59.95954676,259.2688302,-0.115755554,18.3580691,36.79485134
c.c,249,7,1,1,11,30.1,113.5897939,175.5608319,1.129035883,67.01629125,142.9673509,1.077936499,16.58754446,27.55800399
c.c,247,7,2,1,21,31.7,137.578246,195.6289844,-0.298915371,70.3889736,157.179304,0.04272842,19.07292612,30.91577437
c.c,251,7,3,1,31,39.5,241.5373474,391.3930731,2.00319819,53.02599466,407.7396627,2.358998878,14.16333383,31.96112025
c.c,254,11,1,1,11,38.1,212.3416323,232.4930559,1.688095939,51.77656954,215.5341213,1.857381113,14.52094705,29.48670372
c.c,251,11,2,1,21,39.4,281.7580662,268.232127,1.29916063,59.19057906,255.1829971,1.423960912,17.66613774,32.34351537
c.c,254,11,3,1,31,43.2,243.4195087,262.6442809,1.352687769,34.27421837,422.1681487,0.996796604,9.797251509,23.83319442
c.c,254,12,1,1,11,37,190.5198817,207.6044797,2.027386105,53.3058669,179.0149499,2.249676049,14.21246254,27.23310469
c.c,251,12,2,1,21,36,205.6134137,217.5425026,1.441600579,62.73050156,178.68874,1.79340247,17.72441216,29.48988258
c.c,254,12,3,1,31,43.2,250.3146303,274.2932624,1.459737429,36.82314776,416.1630155,1.427320868,10.00457828,24.43703025
c.c,254,13,1,1,11,41.2,234.4180667,259.3743591,2.627102459,43.34673916,345.5976926,2.653787259,10.55570594,25.97724615
c.c,254,13,2,1,21,41.7,254.6081082,276.5021573,1.230580059,43.76028783,328.8782506,1.669940928,12.3276388,28.49426334
c.c,254,14,1,1,11,41.9,234.4003993,222.9606453,2.22065441,39.23847407,281.5830087,2.280794137,10.09000797,24.78441839
c.c,254,14,2,1,21,40.8,240.6109068,266.0016456,1.313864632,45.56503411,303.1918787,1.386154659,12.74854123,28.96374304
c.c,254,15,1,1,11,41.7,216.8089401,210.2975176,1.681490586,35.42862815,284.1261452,1.262274836,9.869854495,23.62211421
c.c,254,15,2,1,21,41.3,238.7187048,254.8176492,0.332285143,42.27860969,319.0683672,0.304158295,12.91628621,28.47903832
